,Zipcode,Latitude,Longitude
374,36024,32.6782163,-86.0325629
375,36261,33.64694,-85.58743
376,36262,33.8677442,-85.4169211
377,36264,33.5829719,-85.56121
378,36269,33.7440035,-85.3859519
379,36272,33.9244795,-85.6113128
380,36613,30.8143093,-88.1876676
381,36323,31.4541879,-86.0733498
382,36530,30.3900205,-87.55936129999999
383,35554,33.8972662,-87.6679765
384,35620,34.9358726,-87.0024407
385,36020,32.5004051,-86.31231969999999
386,36022,32.5989197,-86.39847929999999
387,36025,32.5409874,-86.34781509999999
388,36092,32.6381123,-86.1955169
389,35458,33.3622731,-87.7664934
390,35459,32.8195857,-88.3044908
391,35063,33.8271665,-87.0024407
392,36330,31.3108193,-85.8690933
393,36331,31.3204544,-85.839922
394,35460,32.7165331,-88.19741479999999
395,36026,32.8147714,-86.0733498
396,35745,34.9574063,-86.1955169
397,35461,33.4033103,-88.22664340000001
398,36016,31.8642373,-85.39627689999999
399,36027,31.96934529999999,-85.1686743
400,36072,31.88999999999999,-85.14999999999999
401,35462,32.9273968,-87.97268100000001
402,35621,34.3539011,-86.72151749999999
403,36401,31.4341907,-86.9545763
